Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDL48,OUT018,711.062820869565
FDC48,OUT027,2517.8820884848474
FDA36,OUT017,2778.989278
FDM24,OUT049,2490.5268867052023
FDD48,OUT010,281.48208181818165
FDW12,OUT035,2490.5268867052023
FDC37,OUT027,2517.8820884848474
FDZ36,OUT045,3387.2047231707293
FDK60,OUT017,1559.3429752688176
FDG12,OUT046,2282.9788814814815
FDX24,OUT013,1498.23940862069
FDS60,OUT027,5329.314724444443
FDC60,OUT049,1335.1786749999999
FDA48,OUT018,3327.952582926828
FDZ36,OUT027,5329.314724444443
FDW23,OUT018,507.0464036697249
FDW60,OUT018,2888.49101011236
FDY59,OUT010,219.21852093023253
FDR60,OUT049,1335.1786749999999
FDV24,OUT013,2490.5268867052023
FDZ48,OUT010,281.48208181818165
FDS24,OUT027,2517.8820884848474
FDS48,OUT045,2660.950403030303
FDM60,OUT010,92.67548155339806
FDV24,OUT017,2490.5268867052023
FDS12,OUT027,3242.062071532846
FDP12,OUT027,1378.263185276074
FDV24,OUT046,2490.5268867052023
FDW36,OUT017,1548.6861522123897
FDA36,OUT018,2778.989278
FDU48,OUT045,1864.5118683333335
FDH12,OUT035,1548.6861522123897
FDI12,OUT013,1441.4110827586208
FDY24,OUT019,165.91858165137606
FDY24,OUT017,795.2466764227644
FDQ12,OUT010,584.7577647727273
FDS48,OUT017,2660.950403030303
FDU24,OUT045,1335.1786749999999
FDG12,OUT035,1800.19222295082
FDZ59,OUT046,2611.459542342343
FDQ60,OUT045,1800.19222295082
FDV12,OUT049,1559.3429752688176
FDM24,OUT018,2232.8470218487396
FDQ24,OUT049,4027.340974999999
FDA48,OUT049,3731.4203350253806
FDN60,OUT049,2894.220710714286
FDP60,OUT018,1372.688490740741
FDY24,OUT045,933.6314425287358
FDW12,OUT019,346.8972837209304
FDX48,OUT027,4117.317712631577
FDR36,OUT046,677.1027476190475
FDX12,OUT018,3327.952582926828
FDN24,OUT049,933.6314425287358
FDB60,OUT045,2793.8219167785232
FDR12,OUT049,3104.1898299065424
FDW60,OUT049,2551.8435967479686
FDJ36,OUT017,1784.4287381818183
FDW36,OUT046,1548.6861522123897
FDP12,OUT018,507.0464036697249
FDU60,OUT018,2232.8470218487396
FDT36,OUT035,583.8145788617884
FDD36,OUT035,1800.19222295082
FDR24,OUT049,1335.1786749999999
FDE36,OUT019,425.93559145299156
FDI24,OUT017,2888.49101011236
FDA11,OUT019,219.21852093023253
FDU48,OUT018,1752.2524400000007
FDY12,OUT045,796.6660672268908
FDU60,OUT017,2453.7477006993004
FDH12,OUT013,1548.6861522123897
FDR24,OUT018,1335.1786749999999
FDW24,OUT017,711.062820869565
FDU24,OUT035,1559.3429752688176
FDW36,OUT018,1372.688490740741
FDE24,OUT019,346.8972837209304
FDC60,OUT045,1335.1786749999999
FDL36,OUT013,1441.4110827586208
FDZ48,OUT035,1548.6861522123897
FDR12,OUT035,2894.220710714286
FDX23,OUT049,1559.3429752688176
FDT60,OUT027,3242.062071532846
FDS12,OUT046,2065.1831122807016
FDP12,OUT013,507.0464036697249
FDU48,OUT027,3242.062071532846
FDB12,OUT045,1784.4287381818183
FDQ60,OUT046,2140.5192583333323
FDR60,OUT045,1226.1860613861381
