Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDL48,OUT018,603.0
FDC48,OUT027,2748.0
FDA36,OUT017,3097.0
FDM24,OUT049,2503.0
FDD48,OUT010,-63.0
FDW12,OUT035,2429.0
FDC37,OUT027,3166.0
FDZ36,OUT045,3015.0
FDK60,OUT017,1729.0
FDG12,OUT046,2087.0
FDX24,OUT013,1522.0
FDS60,OUT027,4264.0
FDC60,OUT049,1493.0
FDA48,OUT018,3185.0
FDZ36,OUT027,4438.0
FDW23,OUT018,379.0
FDW60,OUT018,2629.0
FDY59,OUT010,-355.0
FDR60,OUT049,1241.0
FDV24,OUT013,2422.0
FDZ48,OUT010,-147.0
FDS24,OUT027,2902.0
FDS48,OUT045,2387.0
FDM60,OUT010,-1167.0
FDV24,OUT017,2515.0
FDS12,OUT027,3427.0
FDP12,OUT027,2112.0
FDV24,OUT046,2447.0
FDW36,OUT017,1803.0
FDA36,OUT018,2703.0
FDU48,OUT045,2101.0
FDH12,OUT035,1727.0
FDI12,OUT013,1458.0
FDY24,OUT019,-1047.0
FDY24,OUT017,1073.0
FDQ12,OUT010,1741.0
FDS48,OUT017,2541.0
FDU24,OUT045,1553.0
FDG12,OUT035,2039.0
FDZ59,OUT046,2723.0
FDQ60,OUT045,1959.0
FDV12,OUT049,1681.0
FDM24,OUT018,2177.0
FDQ24,OUT049,3967.0
FDA48,OUT049,3523.0
FDN60,OUT049,2507.0
FDP60,OUT018,1317.0
FDY24,OUT045,965.0
FDW12,OUT019,423.0
FDX48,OUT027,3957.0
FDR36,OUT046,775.0
FDX12,OUT018,3595.0
FDN24,OUT049,883.0
FDB60,OUT045,3115.0
FDR12,OUT049,2839.0
FDW60,OUT049,2913.0
FDJ36,OUT017,1809.0
FDW36,OUT046,1757.0
FDP12,OUT018,411.0
FDU60,OUT018,2431.0
FDT36,OUT035,643.0
FDD36,OUT035,1931.0
FDR24,OUT049,1517.0
FDE36,OUT019,715.0
FDI24,OUT017,2899.0
FDA11,OUT019,-431.0
FDU48,OUT018,1817.0
FDY12,OUT045,879.0
FDU60,OUT017,2867.0
FDH12,OUT013,1717.0
FDR24,OUT018,1253.0
FDW24,OUT017,951.0
FDU24,OUT035,1619.0
FDW36,OUT018,1391.0
FDE24,OUT019,337.0
FDC60,OUT045,1515.0
FDL36,OUT013,1460.0
FDZ48,OUT035,1829.0
FDR12,OUT035,2823.0
FDX23,OUT049,1593.0
FDT60,OUT027,3412.0
FDS12,OUT046,2051.0
FDP12,OUT013,715.0
FDU48,OUT027,3510.0
FDB12,OUT045,1733.0
FDQ60,OUT046,2019.0
FDR60,OUT045,1265.0
FDI36,OUT017,3289.0
FDJ36,OUT013,1699.0
FDZ60,OUT046,1749.0
FDX48,OUT013,2532.0
FDZ12,OUT027,3683.0
FDU36,OUT017,1707.0
FDX60,OUT049,1325.0
FDJ12,OUT027,4807.0
FDD48,OUT027,3290.0
FDO48,OUT010,1697.0
FDL24,OUT046,2873.0
FDD36,OUT013,1927.0
FDP48,OUT010,1087.0
FDX12,OUT049,3911.0
FDE36,OUT046,2747.0
FDZ36,OUT049,3025.0
FDA11,OUT049,1569.0
FDN48,OUT010,-405.0
FDQ12,OUT013,3661.0
FDO36,OUT018,2583.0
FDA35,OUT018,1755.0
FDZ59,OUT035,2779.0
FDQ36,OUT013,654.0
FDF24,OUT046,1433.0
FDA11,OUT013,1562.0
FDQ12,OUT017,3743.0
FDP36,OUT046,913.0
FDA48,OUT027,4906.0
FDJ12,OUT018,3079.0
FDY12,OUT035,955.0
FDH12,OUT027,3134.0
FDA47,OUT035,2677.0
FDT36,OUT049,579.0
FDQ48,OUT049,1671.0
FDC60,OUT027,2893.0
FDZ47,OUT018,1357.0
FDY36,OUT035,1277.0
FDG60,OUT045,3693.0
FDM60,OUT019,-1187.0
FDT12,OUT035,3661.0
FDL12,OUT045,1047.0
FDY59,OUT017,1649.0
FDW23,OUT027,2068.0
FDX12,OUT017,3989.0
FDQ60,OUT035,2029.0
FDQ60,OUT027,3370.0
FDW24,OUT018,557.0
FDF12,OUT035,2407.0
FDM12,OUT045,3089.0
FDK48,OUT013,1267.0
FDV12,OUT010,-241.0
FDH24,OUT013,2527.0
FDX24,OUT049,1531.0
FDT48,OUT045,3195.0
FDR24,OUT046,1567.0
FDW60,OUT035,2923.0
FDG60,OUT010,1759.0
FDJ12,OUT035,3407.0
FDX12,OUT013,3876.0
FDV48,OUT035,1381.0
FDI36,OUT049,3221.0
FDD36,OUT045,1893.0
FDR12,OUT010,895.0
FDY60,OUT018,2059.0
FDT60,OUT013,1963.0
FDV36,OUT019,67.0
FDC37,OUT010,-159.0
FDJ60,OUT027,4129.0
FDE36,OUT010,765.0
FDV12,OUT027,3104.0
FDW12,OUT018,2127.0
FDK36,OUT045,843.0
FDW60,OUT046,2963.0
FDN24,OUT035,901.0
FDQ60,OUT017,2127.0
FDT36,OUT017,679.0
FDZ36,OUT019,1095.0
FDM24,OUT010,573.0
FDI48,OUT045,923.0
FDS24,OUT017,1637.0
FDQ48,OUT045,1687.0
FDV36,OUT013,2045.0
FDK48,OUT010,-653.0
FDR48,OUT046,2451.0
FDX11,OUT027,4355.0
FDK48,OUT018,927.0
FDY11,OUT045,1179.0
FDR12,OUT046,2837.0
FDG60,OUT018,3441.0
FDO12,OUT027,4504.0
FDC37,OUT046,1757.0
FDU60,OUT027,4144.0
FDX36,OUT027,5018.0
FDJ36,OUT018,1381.0
FDA23,OUT018,1357.0
FDS60,OUT017,2973.0
FDE24,OUT013,2251.0
FDR36,OUT027,2201.0
FDV60,OUT046,3211.0
FDH60,OUT018,2855.0
FDH24,OUT027,3942.0
FDY11,OUT035,1233.0
FDO60,OUT049,763.0
FDL36,OUT046,1517.0
FDB37,OUT018,3567.0
FDQ24,OUT046,3981.0
FDI12,OUT035,1497.0
FDI12,OUT018,1207.0
FDC37,OUT018,1427.0
FDQ12,OUT018,3337.0
FDB36,OUT049,2157.0
FDC48,OUT013,1349.0
FDX48,OUT046,2571.0
FDU48,OUT046,2157.0
FDR48,OUT019,439.0
FDN12,OUT049,1773.0
FDD36,OUT046,1941.0
FDB12,OUT027,3112.0
FDM36,OUT018,2517.0
FDP36,OUT049,911.0
FDO24,OUT017,2593.0
FDC37,OUT035,1783.0
FDA36,OUT046,2991.0
FDD48,OUT013,1866.0
FDL24,OUT017,2963.0
FDA48,OUT035,3519.0
FDU60,OUT049,2757.0
FDX36,OUT035,3653.0
FDF24,OUT045,1390.0
FDO48,OUT027,4981.0
FDI24,OUT049,2841.0
FDI48,OUT018,669.0
FDU48,OUT013,2102.0
FDV12,OUT045,1625.0
FDZ23,OUT019,1055.0
FDZ47,OUT019,-243.0
FDD48,OUT035,1891.0
FDT48,OUT035,3219.0
FDL12,OUT010,-847.0
FDI12,OUT027,2908.0
FDL12,OUT017,1110.0
FDI36,OUT013,3197.0
FDJ48,OUT018,3635.0
FDC48,OUT049,1389.0
FDD36,OUT017,2057.0
FDC37,OUT017,1833.0
FDB60,OUT019,1171.0
FDZ47,OUT013,1651.0
FDY48,OUT017,1753.0
FDX36,OUT010,1699.0
FDJ60,OUT010,801.0
FDO36,OUT046,2865.0
FDP24,OUT018,1625.0
FDY36,OUT010,-715.0
FDS60,OUT049,2893.0
FDM60,OUT035,795.0
FDZ23,OUT017,3155.0
FDN48,OUT046,1537.0
FDK60,OUT013,1653.0
FDS24,OUT019,-479.0
FDO48,OUT049,3613.0
FDA36,OUT049,2965.0
FDH48,OUT027,2797.0
FDU36,OUT045,1619.0
FDS48,OUT018,2129.0
FDB37,OUT045,3889.0
FDM12,OUT018,2755.0
FDE24,OUT049,2247.0
FDV36,OUT049,2033.0
FDO60,OUT045,751.0
FDI48,OUT019,-1001.0
FDB49,OUT035,1741.0
FDX48,OUT049,2527.0
FDY12,OUT049,937.0
FDS12,OUT049,2001.0
FDB60,OUT046,3147.0
FDY60,OUT049,2373.0
FDP48,OUT013,2977.0
FDK24,OUT013,747.0
FDO36,OUT017,2960.0
FDY36,OUT018,947.0
FDZ48,OUT013,1816.0
