Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDL48,OUT018,745.6688404990898
FDC48,OUT027,2116.645115647052
FDA36,OUT017,3080.015336345455
FDM24,OUT049,2449.064329135481
FDD48,OUT010,268.4114917436342
FDW12,OUT035,2460.896355491251
FDC37,OUT027,2891.936818925261
FDZ36,OUT045,3115.7002404387276
FDK60,OUT017,1544.7346375587128
FDG12,OUT046,2061.1830599912255
FDX24,OUT013,1467.6903443100737
FDS60,OUT027,4696.443842014484
FDC60,OUT049,1362.6287895996543
FDA48,OUT018,3411.3899392856415
FDZ36,OUT027,5073.741397908006
FDW23,OUT018,595.1557515594612
FDW60,OUT018,2832.5262378971224
FDY59,OUT010,227.86303136760785
FDR60,OUT049,1269.1316670841547
FDV24,OUT013,2406.3181922153512
FDZ48,OUT010,258.27095501085824
FDS24,OUT027,2536.2833396469773
FDS48,OUT045,2509.447928701036
FDM60,OUT010,131.7097109188804
FDV24,OUT017,2433.6065029292286
FDS12,OUT027,3006.3305485589117
FDP12,OUT027,1024.211404136888
FDV24,OUT046,2451.4287223662877
FDW36,OUT017,1653.0809511167324
FDA36,OUT018,3008.593438719044
FDU48,OUT045,2034.9775081215764
FDH12,OUT035,1651.8714260999002
FDI12,OUT013,1418.002843967531
FDY24,OUT019,131.7097109188804
FDY24,OUT017,856.0941405046146
FDQ12,OUT010,573.3479039775656
FDS48,OUT017,2485.5870079582724
FDU24,OUT045,1448.3701104646927
FDG12,OUT035,1975.4680723200802
FDZ59,OUT046,2581.4397454849413
FDQ60,OUT045,1932.855741534845
FDV12,OUT049,1568.1719200119549
FDM24,OUT018,2376.2319306126824
FDQ24,OUT049,4040.256585143157
FDA48,OUT049,3623.5374335158126
FDN60,OUT049,2572.905335514176
FDP60,OUT018,1558.1164426150938
FDY24,OUT045,891.5960113235361
FDW12,OUT019,332.5986596605351
FDX48,OUT027,4069.414593682093
FDR36,OUT046,656.3775195170066
FDX12,OUT018,3662.266703907796
FDN24,OUT049,884.010852929297
FDB60,OUT045,3053.5975211388263
FDR12,OUT049,2895.7696772210584
FDW60,OUT049,2919.4833596852764
FDJ36,OUT017,1649.3611236682452
FDW36,OUT046,1654.532576782621
FDP12,OUT018,586.0474971037587
FDU60,OUT018,2603.3075604433443
