Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDL48,OUT018,657.8721747840627
FDC48,OUT027,2756.411825942846
FDA36,OUT017,3012.7433991090793
FDM24,OUT049,2496.6341573356167
FDD48,OUT010,68.73456656988174
FDW12,OUT035,2409.0490184433297
FDC37,OUT027,3151.7151306974
FDZ36,OUT045,3052.3382549078137
FDK60,OUT017,1688.6792205419758
FDG12,OUT046,2045.1180535939843
FDX24,OUT013,1576.1552339132559
FDS60,OUT027,4197.25096925451
FDC60,OUT049,1530.7344233504027
FDA48,OUT018,3124.9943246586668
FDZ36,OUT027,4335.835669575044
FDW23,OUT018,452.18478470334776
FDW60,OUT018,2578.3042148026852
FDY59,OUT010,-268.69003843560677
FDR60,OUT049,1321.2915606104932
FDV24,OUT013,2419.483633198346
FDZ48,OUT010,-14.028215104671744
FDS24,OUT027,2875.7153921644795
FDS48,OUT045,2484.2702875023333
FDM60,OUT010,-1007.0116435331452
FDV24,OUT017,2447.1951679423087
FDS12,OUT027,3384.625821645573
FDP12,OUT027,2125.9292662836842
FDV24,OUT046,2397.080701500685
FDW36,OUT017,1724.8767399833123
FDA36,OUT018,2672.6377514161327
FDU48,OUT045,2152.526448453692
FDH12,OUT035,1758.4424969961146
FDI12,OUT013,1484.6519258726194
FDY24,OUT019,-935.7284232286997
FDY24,OUT017,1049.0646861065684
FDQ12,OUT010,1729.8389778747417
FDS48,OUT017,2433.4032909941043
FDU24,OUT045,1654.1082499408137
FDG12,OUT035,2039.631731914985
FDZ59,OUT046,2639.9336519929893
FDQ60,OUT045,2044.0047417616338
FDV12,OUT049,1726.768385966184
FDM24,OUT018,2143.3493308705724
FDQ24,OUT049,3922.9758336827695
FDA48,OUT049,3491.645738174607
FDN60,OUT049,2529.294182245761
FDP60,OUT018,1359.1319375506669
FDY24,OUT045,1100.3937926272274
FDW12,OUT019,481.1209174874589
FDX48,OUT027,3882.316722900023
FDR36,OUT046,784.3311664737148
FDX12,OUT018,3509.6892574086733
FDN24,OUT049,980.8907297098131
FDB60,OUT045,3176.0580895971016
FDR12,OUT049,2828.7651928612413
FDW60,OUT049,2894.4956392653903
FDJ36,OUT017,1694.019767532641
FDW36,OUT046,1751.4111942872448
FDP12,OUT018,469.6216459807465
FDU60,OUT018,2399.7871633132036
FDT36,OUT035,726.4065086945175
FDD36,OUT035,1963.1641307092086
FDR24,OUT049,1572.8620164823465
FDE36,OUT019,758.9373997077587
FDI24,OUT017,2763.334758125066
FDA11,OUT019,-310.4524134253784
FDU48,OUT018,1836.4312053457909
FDY12,OUT045,1014.7527456431399
FDU60,OUT017,2721.6854394139964
FDH12,OUT013,1755.2131210594523
FDR24,OUT018,1275.8820005997745
FDW24,OUT017,967.8913590357033
FDU24,OUT035,1625.7645157604582
FDW36,OUT018,1424.5225972610062
FDE24,OUT019,411.0946699410483
FDC60,OUT045,1619.122315696255
FDL36,OUT013,1516.9941521220019
FDZ48,OUT035,1865.511409757208
FDR12,OUT035,2788.003476243817
FDX23,OUT049,1658.757895328237
FDT60,OUT027,3381.6306702348784
FDS12,OUT046,2016.565572375077
FDP12,OUT013,784.8062510264253
FDU48,OUT027,3476.745978505906
FDB12,OUT045,1833.6371099676612
FDQ60,OUT046,1967.7869498186408
FDR60,OUT045,1355.1440163272198
FDI36,OUT017,3172.1212170821887
FDJ36,OUT013,1716.3913974274092
FDZ60,OUT046,1745.8397554690507
FDX48,OUT013,2521.8951218959223
FDZ12,OUT027,3636.2029985383806
FDU36,OUT017,1628.9645337305933
FDX60,OUT049,1406.9492308270126
FDJ12,OUT027,4691.592530841642
FDD48,OUT027,3270.1473127091826
FDO48,OUT010,1670.2337911765137
FDL24,OUT046,2794.5455628928335
FDD36,OUT013,1965.8438164909685
FDP48,OUT010,1070.1780798899126
FDX12,OUT049,3850.352319481719
FDE36,OUT046,2668.100953687778
FDZ36,OUT049,2995.0481603121234
FDA11,OUT049,1635.4133400289259
FDN48,OUT010,-261.83331983833705
FDQ12,OUT013,3613.3705083817663
FDO36,OUT018,2564.143656273502
FDA35,OUT018,1752.7976449454393
FDZ59,OUT035,2732.2188881672732
FDQ36,OUT013,711.4671111372309
FDF24,OUT046,1429.8577131870566
FDA11,OUT013,1610.6763412430869
FDQ12,OUT017,3573.3906268784494
FDP36,OUT046,922.268993358517
FDA48,OUT027,4798.283263813245
FDJ12,OUT018,3008.818390464372
FDY12,OUT035,996.7783434728158
FDH12,OUT027,3115.616505837171
FDA47,OUT035,2637.208110760202
FDT36,OUT049,691.5685764364521
FDQ48,OUT049,1714.4068365007
FDC60,OUT027,2861.2639640196444
FDZ47,OUT018,1377.2116509698244
FDY36,OUT035,1340.322901839255
FDG60,OUT045,3735.2543432439716
FDM60,OUT019,-1052.1927119416491
FDT12,OUT035,3578.0368085303676
FDL12,OUT045,1117.9781861083006
FDY59,OUT017,1578.2561698162333
FDW23,OUT027,2101.916680306798
FDX12,OUT017,3783.4685741633702
FDQ60,OUT035,2018.5968111567781
FDQ60,OUT027,3315.9068732293945
FDW24,OUT018,627.8054557895762
FDF12,OUT035,2403.7492462029286
FDM12,OUT045,3077.0367172171823
FDK48,OUT013,1326.264945814297
FDV12,OUT010,-177.4596119256962
FDH24,OUT013,2543.775900470465
FDX24,OUT049,1596.9187548971315
FDT48,OUT045,3190.9936197044317
FDR24,OUT046,1553.8978878050998
FDW60,OUT035,2878.9057503759855
FDG60,OUT010,1805.707395239673
FDJ12,OUT035,3340.5634708504876
FDX12,OUT013,3797.4306009302004
FDV48,OUT035,1410.4327824209079
FDI36,OUT049,3187.9919584119007
FDD36,OUT045,2019.755438712311
FDR12,OUT010,903.7351316448071
FDY60,OUT018,2041.5271976362167
FDT60,OUT013,1992.6344422936231
FDV36,OUT019,165.6738476851192
FDC37,OUT010,-18.817073650376187
FDJ60,OUT027,4043.8360200757725
FDE36,OUT010,762.3823633678217
FDV12,OUT027,3068.6153259962666
FDW12,OUT018,2098.133021387568
FDK36,OUT045,958.6152487783711
FDW60,OUT046,2875.503611201189
FDN24,OUT035,972.7729752094606
FDQ60,OUT017,2056.401105948622
FDT36,OUT017,704.9553486619488
FDZ36,OUT019,1116.2947821062808
FDM24,OUT010,582.7136922516506
FDI48,OUT045,1013.3922350045468
FDS24,OUT017,1553.116692107666
FDQ48,OUT045,1745.7199308969593
FDV36,OUT013,2077.5675468621066
FDK48,OUT010,-563.0523761317941
FDR48,OUT046,2404.0735882171375
FDX11,OUT027,4253.890963481762
FDK48,OUT018,980.6458065196525
FDY11,OUT045,1254.9596435571382
FDR12,OUT046,2760.899824025402
FDG60,OUT018,3382.4666914880213
FDO12,OUT027,4420.839940142374
FDC37,OUT046,1757.5056094596323
FDU60,OUT027,4058.115162633939
FDX36,OUT027,4882.102525870324
FDJ36,OUT018,1389.1970143313451
